simbolo,data_entrada,preco_entrada,preco_atual,qtd,pnl_pct_flutuante
BR,2026-09-02T20:00:00.000Z,0.23471,0.31571,178.9442,34.51
CHIP,2026-08-19T08:00:00.000Z,0.02672,0.05715,1100.2994,113.88
4,2026-08-26T20:00:00.000Z,0.011108,0.016726,2646.7411,50.58
ENA,2026-08-26T12:00:00.000Z,0.1392,0.17076,431.0345,22.67
ARB,2026-08-31T16:00:00.000Z,0.0963,0.13847,436.1371,43.79
CRV,2026-08-31T08:00:00.000Z,0.3086,0.3712,194.4264,20.29
CVX,2026-08-19T12:00:00.000Z,1.6298,2.3869,18.0390,46.45
EDU,2026-08-20T12:00:00.000Z,0.03831,0.05227,1096.3195,36.44
BMNR,2026-09-03T12:00:00.000Z,26.283,26.43,2.2828,0.56
AAVE,2026-08-28T12:00:00.000Z,123.08,133.98,0.4875,8.86
ACU,2026-09-02T20:00:00.000Z,0.12556,0.1281,477.8592,2.02
AR,2026-09-01T04:00:00.000Z,2.255,2.61,26.6075,15.74
CAKE,2026-08-25T20:00:00.000Z,1.711,2.004,35.0672,17.12
APR,2026-09-03T04:00:00.000Z,0.2025,0.2814,207.4074,38.96
DASH,2026-08-25T20:00:00.000Z,37.87,46.35,1.5844,22.39
CRCL,2026-08-06T12:00:00.000Z,65.45,103.21,0.4492,57.69
BROCCOLI,2026-09-03T08:00:00.000Z,0.01771,0.018665,3387.9164,5.39
COTI,2026-08-21T12:00:00.000Z,0.010777,0.013346,3897.1885,23.84
1000NEIROCTO,2026-08-31T20:00:00.000Z,0.08644,0.09068,694.1231,4.91
AGI,2026-08-21T08:00:00.000Z,0.00269,0.005929,10929.3680,120.41
1000PEPE,2026-09-03T12:00:00.000Z,0.003857,0.003807,15556.1317,-1.30
EDEN,2026-09-01T00:00:00.000Z,0.06045,0.06109,992.5558,1.06
1000CAT,2026-09-03T12:00:00.000Z,0.001926,0.001917,31152.6480,-0.47
CETUS,2026-09-02T20:00:00.000Z,0.023825,0.024635,2518.3631,3.40
ADA,2026-09-03T00:00:00.000Z,0.2048,0.2225,292.9688,8.64
BTC,2026-08-28T12:00:00.000Z,78285,81713.9,0.0008,4.38
ENS,2026-09-03T12:00:00.000Z,5.778,5.824,10.3842,0.80
BSV,2026-09-03T12:00:00.000Z,16.581,16.782,3.6186,1.21
BNB,2026-08-28T04:00:00.000Z,706.4,724.3,0.0849,2.53
1000RATS,2026-09-03T08:00:00.000Z,0.04105,0.04138,1461.6322,0.80
1000000BABYDOGE,2026-09-01T08:00:00.000Z,0.0003703,0.0003936,162030.7858,6.29
COIN,2026-09-03T12:00:00.000Z,195.65,192.9,0.3067,-1.41
CHILLGUY,2026-09-03T12:00:00.000Z,0.011872,0.01194,5053.9084,0.57
CROSS,2026-09-03T08:00:00.000Z,0.1084,0.10876,553.5055,0.33
A,2026-08-26T08:00:00.000Z,0.07286,0.07908,823.4971,8.54
AERO,2026-09-03T00:00:00.000Z,0.484,0.5094,123.9669,5.25
CELO,2026-08-28T00:00:00.000Z,0.07524,0.07726,797.4482,2.68
COMP,2026-08-31T04:00:00.000Z,18.97,20.06,3.1629,5.75
ENSO,2026-09-03T12:00:00.000Z,0.8738,0.8696,68.6656,-0.48
1INCH,2026-09-03T12:00:00.000Z,0.09109,0.09154,658.6892,0.49
