simbolo,data_entrada,preco_entrada,data_saida,preco_saida,qtd,pnl_usdt,pnl_pct,motivo
ARB,2026-05-12T12:00:00.000Z,0.13571,2026-05-13T12:00:00.000Z,0.1311,442.1192,-2.103,-3.40,ema90-exit
EGLD,2026-05-12T12:00:00.000Z,4.571,2026-05-13T12:00:00.000Z,4.41,13.1262,-2.178,-3.52,ema90-exit
ACE,2026-05-12T12:00:00.000Z,0.13534,2026-05-13T12:00:00.000Z,0.12803,443.3279,-3.305,-5.40,ema90-exit
EDEN,2026-05-12T12:00:00.000Z,0.04118,2026-05-13T12:00:00.000Z,0.03885,1457.0180,-3.459,-5.66,ema90-exit
CETUS,2026-05-12T12:00:00.000Z,0.03261,2026-05-13T12:00:00.000Z,0.031051,1839.9264,-2.933,-4.78,ema90-exit
ENS,2026-05-12T12:00:00.000Z,6.843,2026-05-15T12:00:00.000Z,6.664,8.7681,-1.635,-2.62,ema90-exit
BSV,2026-05-12T12:00:00.000Z,16.783,2026-05-13T12:00:00.000Z,16.28,3.5750,-1.863,-3.00,ema90-exit
BNB,2026-05-12T12:00:00.000Z,651.9,2026-05-17T00:00:00.000Z,652.4,0.0920,-0.020,0.08,ema90-exit
COMP,2026-05-12T12:00:00.000Z,23.564,2026-05-13T12:00:00.000Z,22.61,2.5463,-2.494,-4.05,ema90-exit
BOME,2026-05-12T16:00:00.000Z,0.0006051,2026-05-14T00:00:00.000Z,0.0005793,99157.1641,-2.623,-4.26,ema90-exit
COTI,2026-05-12T16:00:00.000Z,0.015197,2026-05-13T12:00:00.000Z,0.014517,3948.1477,-2.749,-4.47,ema90-exit
1000CAT,2026-05-12T16:00:00.000Z,0.0021568,2026-05-13T12:00:00.000Z,0.0020534,27818.9911,-2.941,-4.79,ema90-exit
ADA,2026-05-12T16:00:00.000Z,0.2719,2026-05-13T12:00:00.000Z,0.2618,220.6694,-2.294,-3.71,ema90-exit
BTC,2026-05-12T16:00:00.000Z,80791.6,2026-05-13T12:00:00.000Z,78792.5,0.0007,-1.550,-2.47,ema90-exit
A,2026-05-12T16:00:00.000Z,0.09395,2026-05-13T12:00:00.000Z,0.08989,638.6376,-2.657,-4.32,ema90-exit
CELO,2026-05-12T16:00:00.000Z,0.09577,2026-05-13T12:00:00.000Z,0.09151,626.5010,-2.733,-4.45,ema90-exit
1INCH,2026-05-12T16:00:00.000Z,0.10045,2026-05-13T12:00:00.000Z,0.09652,597.3121,-2.412,-3.91,ema90-exit
AKE,2026-05-12T20:00:00.000Z,0.000356,2026-05-13T12:00:00.000Z,0.0003144,168539.3258,-7.073,-11.69,stop-loss
CHIP,2026-05-12T20:00:00.000Z,0.06468,2026-05-13T04:00:00.000Z,0.06413,927.6438,-0.576,-0.85,ema90-exit
AAVE,2026-05-12T20:00:00.000Z,96.63,2026-05-13T12:00:00.000Z,94.5,0.6209,-1.388,-2.20,ema90-exit
AERO,2026-05-12T20:00:00.000Z,0.4957,2026-05-13T12:00:00.000Z,0.471,121.0410,-3.054,-4.98,ema90-exit
ENA,2026-05-13T00:00:00.000Z,0.12459,2026-05-13T12:00:00.000Z,0.11487,481.5796,-4.744,-7.80,ema90-exit
AR,2026-05-13T00:00:00.000Z,2.4061,2026-05-15T12:00:00.000Z,2.1855,24.9366,-5.564,-9.17,ema90-exit
CAKE,2026-05-13T00:00:00.000Z,1.5643,2026-05-13T12:00:00.000Z,1.5083,38.3558,-2.213,-3.58,ema90-exit
DASH,2026-05-13T00:00:00.000Z,47.05,2026-05-13T12:00:00.000Z,43.46,1.2752,-4.642,-7.63,ema90-exit
1000NEIROCTO,2026-05-13T00:00:00.000Z,0.10008,2026-05-13T12:00:00.000Z,0.09123,599.5204,-5.369,-8.84,ema90-exit
BTR,2026-05-13T00:00:00.000Z,0.03005,2026-05-13T04:00:00.000Z,0.02961,1996.6722,-0.944,-1.46,ema90-exit
1000000BABYDOGE,2026-05-13T00:00:00.000Z,0.0004625,2026-05-13T12:00:00.000Z,0.000436,129729.7297,-3.502,-5.73,ema90-exit
CROSS,2026-05-13T00:00:00.000Z,0.09905,2026-05-15T08:00:00.000Z,0.10077,605.7547,0.975,1.74,ema90-exit
EDGE,2026-05-13T04:00:00.000Z,1.3222,2026-05-15T12:00:00.000Z,1.295,45.3789,-1.300,-2.06,ema90-exit
CHILLGUY,2026-05-13T08:00:00.000Z,0.016291,2026-05-13T12:00:00.000Z,0.014851,3683.0152,-5.367,-8.84,ema90-exit
CRV,2026-05-13T12:00:00.000Z,0.2661,2026-05-15T12:00:00.000Z,0.2521,225.4791,-3.221,-5.26,ema90-exit
CVX,2026-05-13T12:00:00.000Z,1.8544,2026-05-15T04:00:00.000Z,1.8142,32.3555,-1.366,-2.17,ema90-exit
EDU,2026-05-13T16:00:00.000Z,0.0515,2026-05-14T20:00:00.000Z,0.04951,1165.0485,-2.383,-3.86,ema90-exit
BSV,2026-05-13T20:00:00.000Z,16.662,2026-05-14T00:00:00.000Z,16.373,3.6010,-1.106,-1.73,ema90-exit
BSV,2026-05-14T04:00:00.000Z,16.867,2026-05-15T08:00:00.000Z,16.395,3.5572,-1.744,-2.80,ema90-exit
ENA,2026-05-14T12:00:00.000Z,0.12305,2026-05-15T12:00:00.000Z,0.11049,487.6067,-6.187,-10.21,stop-loss
BOME,2026-05-14T12:00:00.000Z,0.0006316,2026-05-15T12:00:00.000Z,0.0005765,94996.8334,-5.297,-8.72,ema90-exit
AAVE,2026-05-14T12:00:00.000Z,99.11,2026-05-15T08:00:00.000Z,96.1,0.6054,-1.887,-3.04,ema90-exit
